borrower_id,ssn,first_name,last_name,email,address,city,state,phone
000001,850-47-3740,Mark,Morgan,mmorgan0@g.co,5677 Coolidge Street,Plano,TX,(469) 904-1438
000002,256-95-4382,Eric,Warren,ewarren1@ed.gov,9062 Schurz Drive,Dallas,TX,(214) 701-8127
000003,256-51-5268,Robert,Harper,rharper2@angelfire.com,7786 Sachs Place,Plano,TX,(214) 875-5911
000004,976-95-2914,Donna,Franklin,dfranklin3@alexa.com,3 Magdeline Terrace,Plano,TX,(214) 800-6127
000005,906-63-3588,Linda,King,lking4@illinois.edu,41260 Kedzie Terrace,Dallas,TX,(469) 213-2549
000006,206-26-7141,Judy,Holmes,jholmes5@github.io,6583 Manitowish Hill,Dallas,TX,(972) 898-5909
000007,898-61-3567,Deborah,Lawrence,dlawrence6@chicagotribune.com,2 Hermina Trail,Dallas,TX,(972) 900-2951
000008,644-25-0492,Adam,Johnston,ajohnston7@is.gd,05671 Norway Maple Court,Dallas,TX,(469) 743-0176
000009,678-12-4697,Pamela,Carr,pcarr8@stumbleupon.com,1848 Fordem Avenue,Richardson,TX,(972) 247-9852
000010,562-33-7951,Daniel,Fisher,dfisher9@liveinternet.ru,400 Cody Lane,Plano,TX,(214) 891-7743
000011,441-90-7753,Stephen,Fields,sfieldsa@sphinn.com,99 Fair Oaks Drive,Plano,TX,(214) 801-3069
000012,305-53-3736,Walter,Ferguson,wfergusonb@jalbum.net,814 Sutteridge Point,Dallas,TX,(469) 945-8172
000013,634-61-6311,Paul,Cook,pcookc@blogtalkradio.com,58295 Pierstorff Pass,Richardson,TX,(469) 932-0168
000014,661-24-6360,Roy,Smith,rsmithd@csmonitor.com,563 Fairview Park,Dallas,TX,(214) 911-4724
000015,350-83-8412,Michelle,Gardner,mgardnere@wordpress.org,28309 Paget Court,Plano,TX,(469) 974-2681
000016,439-75-5475,George,Powell,gpowellf@scribd.com,31 Clove Crossing,Dallas,TX,(972) 885-7291
000017,431-61-5822,Nicholas,Hudson,nhudsong@uol.com.br,29 Esker Trail,Dallas,TX,(469) 698-4000
000018,879-82-7179,Linda,Henderson,lhendersonh@mayoclinic.com,117 Katie Center,Dallas,TX,(469) 997-0832
000019,484-96-1826,Gregory,Fowler,gfowleri@foxnews.com,42454 Hermina Plaza,Dallas,TX,(214) 936-8301
000020,562-52-7080,Carol,Sanders,csandersj@usda.gov,99600 Moland Way,Dallas,TX,(214) 762-1061
000021,876-61-5170,Mark,Hamilton,mhamiltonk@deliciousdays.com,76425 Dixon Hill,Dallas,TX,(972) 802-7903
000022,139-71-1123,Anthony,Brown,abrownl@rakuten.co.jp,8691 Walton Terrace,Dallas,TX,(972) 947-3376
000023,239-16-6210,James,Rivera,jriveram@comsenz.com,4 Golden Leaf Trail,Dallas,TX,(214) 761-8129
